PID,PPID,Project Group,Type,Description,Status,Date Begin,Date End,Mem Year,Cal Year,Season
28,,AYSOGArea5CF,RS,CY2010 Fall Regular Season Area 5C/5F,Past,20100801,20101130,2010,2010,Fall
29,,AYSOGArea5CF,RS,CY2010 Winter Regular Season R0498 Madison,Past,20100101,20100331,2009,2010,Winter
30,,AYSOGArea5CF,RS,CY2010 Spring Regular Season Area 5C/5F,Past,20100201,20100731,2009,2010,Spring
31,28,AYSOGArea5CF,RT,CY2010 Fall Regional Tournament R0894 Monrovia,Past,20100801,20101130,2010,2010,Fall
32,28,AYSOGArea5CF,RT,CY2010 Fall Regional Tournament R0498 Madison,Past,20100801,20101130,2010,2010,Fall
33,28,AYSOGArea5CF,RT,CY2010 Fall Regional Tournament R0160 Huntsville,Past,20100801,20101130,2010,2010,Fall
34,28,AYSOGArea5CF,RT,CY2010 Fall Regional Tournament R1174 NEMC,Past,20100801,20101130,2010,2010,Fall
35,28,AYSOGArea5CF,AT,CY2010 Fall Area Tournament Area 5C,Past,20100801,20101130,2010,2010,Fall
36,28,AYSOGArea5CF,ST,CY2010 Fall State Tournament Area 5C/5F,Past,20100801,20101130,2010,2010,Fall
37,,AYSOGArea5CF,RS,CY2011 Winter Regular Season R0498 Madison,Past,20110101,20110331,2010,2011,Winter
38,,AYSOGArea5CF,RS,CY2011 Spring Regular Season Area 5C/5F,Past,20110301,20110630,2010,2011,Spring
39,38,AYSOGArea5CF,AT,CY2011 Spring Sendoff Tournament Area 5C/5F,Past,20110601,20110613,2010,2011,Spring
50,,AYSOGNatGames,NG,National Games 2010,Past,20100701,20100730,2009,2010,Summer
52,,AYSOGNatGames,NG,National Games 2012,Active,20120701,20120730,2011,2012,Summer
54,,AYSOGNatGames,NG,National Games 2014,Future,20140701,20140730,2013,2014,Summer
60,,AYSOGS5Games,SG,Section 5 Games 2010,Past,20100601,20100630,2009,2010,Summer
61,,AYSOGS5Games,SG,Section 5 Games 2011,Past,20110601,20110630,2010,2011,Summer
62,,AYSOGS5Games,SG,Section 5 Games 2012,Active,20120601,20120630,2011,2012,Summer
63,,AYSOGS5Games,SG,Section 5 Games 2013,Future,20130601,20130630,2011,2012,Summer
70,,AYSOGArea5CF,RS,CY2011 Fall Regular Season Area 5C/5F,Past,20110801,20111130,2011,2011,Fall
71,70,AYSOGArea5CF,RT,CY2011 Fall Regional Tournament R0894 Monrovia,Past,20110801,20111130,2011,2011,Fall
72,70,AYSOGArea5CF,RT,CY2011 Fall Regional Tournament R0498 Madison,Past,20110801,20111130,2011,2011,Fall
73,70,AYSOGArea5CF,RT,CY2011 Fall Regional Tournament R0160 Huntsville,Past,20110801,20111130,2011,2011,Fall
74,70,AYSOGArea5CF,RT,CY2011 Fall Regional Tournament R1174 NEMC,Past,20110801,20111130,2011,2011,Fall
75,70,AYSOGArea5CF,AT,CY2011 Fall Area Tournament Area 5C,Past,20110801,20111130,2011,2011,Fall
76,70,AYSOGArea5CF,ST,CY2011 Fall State Tournament Area 5C/5F,Past,20110801,20111130,2011,2011,Fall
77,,AYSOGArea5CF,RS,CY2012 Winter Regular Season R0498 Madison,Active,20120101,20120331,2011,2012,Winter
78,,AYSOGArea5CF,RS,CY2012 Spring Regular Season Area 5C/5F,Future,20120301,20120630,2011,2012,Spring
79,78,AYSOGArea5CF,AT,CY2012 Spring Sendoff Tournament Area 5C/5F,Future,20120601,20120613,2011,2012,Spring
